9,County Name,County Code FIPS,ZIP Code Tabulation Area (5-Digit),SAEP Version,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,Estimated Total Population 2020,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2020,Percent Change in Population 2010 to 2020
305,Klickitat,039,98602,"September 16, 2020",186.48,187.903,188.908,190.096,192.165,193.372,195.805,197.29,198.568,199.175,200,198.975,197.666,196.812,198.388,202.963,204.356,204.783,207.115,212.166,220.905,13.52,0.0725,20.905,0.10452
306,Klickitat,039,98605,"September 16, 2020",738.901,741.887,743.231,745.298,750.817,752.962,759.87,763.075,765.48,765.319,766,773.759,783.461,780.331,787.53,792.107,793.976,800.74,800.801,816.051,818.307,27.099,0.03667,52.307,0.06829
307,Klickitat,039,98613,"September 16, 2020",446.949,442.42,436.917,431.862,428.78,423.761,421.389,416.926,412.026,405.767,400,407.799,407.594,407.86,407.603,404.176,402.661,405.628,418.353,426.274,433.164,-46.949,(   10.504%),33.164,0.08291
308,Klickitat,039,98617,"September 16, 2020",1021.107,1023.586,1023.782,1025,1030.943,1032.255,1040.088,1042.842,1044.506,1042.672,1042,1054.101,1059.165,1084.439,1102.921,1098.198,1116.73,1127.897,1141.437,1165.091,1174.252,20.893,0.02046,132.252,0.12692
309,Klickitat,039,98619,"September 16, 2020",536.055,528.35,519.484,511.154,505.157,496.865,491.666,484.015,475.857,466.145,457,460.66,460.919,464.093,472.261,471.391,472.711,485.81,490.499,496.906,504.443,-79.055,(   14.748%),47.443,0.10381
310,Klickitat,039,98620,"September 16, 2020",6916.803,6940.034,6947.846,6962.524,7009.317,7024.701,7084.422,7109.614,7127.375,7121.252,7123,7180.86,7227.707,7242.534,7284.726,7318.511,7382.467,7513.985,7634.634,7772.16,7891.431,206.197,0.02981,768.431,0.10788
311,Klickitat,039,98628,"September 16, 2020",461.006,453.577,445.154,437.19,431.221,423.289,417.993,410.602,402.778,393.643,385,385.445,382.968,381.342,378.67,377.48,376.04,376.743,367.705,362.286,363.077,-76.006,(   16.487%),-21.923,(    5.694%)
312,Klickitat,039,98635,"September 16, 2020",1762.985,1760.854,1754.815,1750.532,1754.308,1750.188,1757.088,1755.365,1751.812,1742.415,1735,1753.127,1748.231,1761.815,1771.273,1772.518,1796.423,1831.833,1865.168,1889.907,1925.886,-27.985,(    1.587%),190.886,0.11002
313,Klickitat,039,98650,"September 16, 2020",800.084,816.284,830.652,845.803,864.896,880.145,901.019,917.583,933.191,945.617,959,971.724,982.216,992.606,994.75,1014.035,1046.925,1057.896,1064.73,1099.426,1109.932,158.916,0.19862,150.932,0.15738
314,Klickitat,039,98670,"September 16, 2020",109.012,109.451,109.648,109.954,110.764,111.081,112.102,112.572,112.925,112.901,113,114.993,118.816,120.508,119.608,118.51,120.061,124.676,128.957,133.657,135.962,3.988,0.03658,22.962,0.2032
315,Klickitat,039,98672,"September 16, 2020",5038.764,5140.542,5230.764,5325.922,5445.901,5541.696,5672.879,5776.934,5874.966,5952.972,6037,6080.03,6103.289,6135.619,6198.41,6300.551,6419.906,6566.238,6685.033,6885.581,7013.631,998.236,0.19811,976.631,0.16177
316,Klickitat,039,98673,"September 16, 2020",424.768,422.851,419.998,417.573,417.06,414.668,414.88,413.047,410.781,407.156,404,409.601,406.856,407.122,408.538,405.618,406.19,407.093,407.588,409.622,410.576,-20.768,(    4.889%),6.576,0.01628
317,Klickitat,039,99322,"September 16, 2020",244.037,241.438,238.262,235.361,233.551,230.668,229.204,226.635,223.84,220.285,217,218.304,219.225,220.494,223.968,222.011,221.154,226.001,226.525,218.062,218.55,-27.037,(   11.079%),1.55,0.00714
318,Klickitat,039,99350,"September 16, 2020",248.754,242.569,235.854,229.392,223.974,217.522,212.415,206.232,199.827,192.787,186,190.216,198.575,197.839,196.731,197.489,198.837,212.119,218.452,223.353,225.694,-62.754,(   25.227%),39.694,0.21341
319,Klickitat,039,99356,"September 16, 2020",223.295,230.453,237.087,243.942,251.944,258.826,267.375,274.664,281.665,287.693,294,300.406,303.312,306.586,304.623,304.442,311.563,318.558,323.003,319.458,324.19,70.705,0.31664,30.19,0.10269
320,Lewis,041,98304,"September 16, 2020",151.022,154.614,158.104,160.619,163.969,167.412,172.183,176.302,180.031,182.902,185,193.262,193.52,191.942,197.335,202.234,205.698,214.313,220.609,233.106,248.522,33.978,0.22499,63.522,0.34336
321,Lewis,041,98336,"September 16, 2020",1031.95,1027.031,1021.405,1009.611,1003.226,997.404,999.261,997.031,992.451,983.185,970,976.038,980.4,986.966,990.576,993.835,969.921,969.977,982.389,997.839,999.577,-61.95,(    6.003%),29.577,0.03049
322,Lewis,041,98355,"September 16, 2020",632.167,632.539,632.476,628.58,628.031,627.84,632.507,634.627,635.273,632.915,628,633.032,632.235,633.353,642.495,658.553,665.43,671.964,696.509,702.482,705.975,-4.167,(    0.659%),77.975,0.12416
323,Lewis,041,98356,"September 16, 2020",2084.722,2093.762,2101.383,2096.228,2102.178,2109.33,2132.866,2147.923,2158.032,2157.916,2149,2159.091,2164.056,2160.383,2162.676,2169.17,2170.491,2173.603,2208.021,2227.534,2258.136,64.278,0.03083,109.136,0.05078
324,Lewis,041,98361,"September 16, 2020",1335.802,1319.665,1302.595,1277.701,1259.725,1242.452,1234.65,1221.691,1205.783,1184.194,1158,1226.69,1265.297,1279.499,1286.938,1297.056,1295.456,1324.956,1348.636,1397.425,1436.434,-177.802,(   13.311%),278.434,0.24044
325,Lewis,041,98377,"September 16, 2020",2100.899,2085.611,2068.861,2039.644,2021.391,2004.276,2002.543,1992.553,1977.822,1953.78,1922,1930.527,1941.434,1942.711,1935.63,1943.084,1905.064,1915.251,1937.655,1979.795,1988.263,-178.899,(    8.515%),66.263,0.03448
326,Lewis,041,98531,"September 16, 2020",20358.994,20562.816,20752.99,20816.237,20989.374,21174.301,21524.851,21791.122,22007.789,22120.092,22141,22239.242,22306.455,22210.137,22204.419,22291.622,22325.953,22431.818,22634.121,22837.541,23040.975,1782.006,0.08753,899.975,0.04065
327,Lewis,041,98532,"September 16, 2020",20857.751,21157.96,21444.265,21599.002,21867.24,22147.713,22602.215,22969.248,23284.483,23489.234,23596,23739.077,23825.797,23817.1,23876.258,23963.826,24136.027,24216.063,24464.67,24794.32,24908.212,2738.249,0.13128,1312.212,0.05561
328,Lewis,041,98533,"September 16, 2020",492.809,505.062,516.988,525.717,537.178,548.947,565.062,579.056,591.766,601.66,609,616.503,617.206,617.31,614.38,619.957,625.446,633.032,653.065,662.758,664.086,116.191,0.23577,55.086,0.09045
329,Lewis,041,98538,"September 16, 2020",374.034,367.488,360.68,351.717,344.663,337.809,333.509,327.785,321.262,313.23,304,312.168,308.964,308.501,297.045,299.302,300.294,310.079,313.18,309.999,319.373,-70.034,(   18.724%),15.373,0.05057
330,Lewis,041,98542,"September 16, 2020",518.114,532.567,546.68,557.41,571.027,584.97,603.558,619.888,634.864,646.813,656,664.332,668.224,672.273,666.042,664.918,663.403,668.071,683.163,703.695,705.173,137.886,0.26613,49.173,0.07496
331,Lewis,041,98544,"September 16, 2020",64.076,65.049,65.979,66.506,67.381,68.293,69.745,70.924,71.944,72.625,73,72.973,73.042,72.928,72.611,72.765,72.619,72.623,73.229,73.772,73.786,8.924,0.13927,0.786,0.01077
332,Lewis,041,98564,"September 16, 2020",2260.794,2283.46,2304.607,2311.665,2330.921,2351.495,2390.451,2420.043,2444.148,2456.649,2459,2476.069,2503.437,2508.552,2509.733,2508.867,2514.175,2566.386,2605.415,2666.606,2709.985,198.206,0.08767,250.985,0.10207
333,Lewis,041,98565,"September 16, 2020",427.405,447.024,466.374,482.792,501.677,520.846,544.21,565.62,585.825,603.23,618,636.768,641.334,647.449,658.597,661.946,687.78,701.486,722.329,717.652,728.907,190.595,0.44594,110.907,0.17946
334,Lewis,041,98568,"September 16, 2020",28.003,29.84,31.662,33.279,35.065,36.867,38.977,40.949,42.836,44.517,46,50.162,50.211,49.93,50.876,51.026,50.92,50.813,53.355,56.462,56.434,17.997,0.64268,10.434,0.22683
335,Lewis,041,98570,"September 16, 2020",3357.444,3414.863,3470.047,3503.905,3556.113,3610.332,3692.972,3761.428,3821.448,3863.314,3889,3928.579,3941.924,3940.043,3947.95,3970.58,3996.839,4043.726,4095.306,4174.235,4224.213,531.556,0.15832,335.213,0.0862
336,Lewis,041,98572,"September 16, 2020",830.122,827.84,824.987,817.147,813.674,810.664,813.898,813.83,811.855,806.043,797,799.827,799.969,794.665,794.655,805.183,804.79,812.953,818.302,824.988,834.739,-33.122,(    3.990%),37.739,0.04735
337,Lewis,041,98579,"September 16, 2020",306.047,315.832,325.426,332.997,342.286,351.757,364.053,374.992,385.114,393.405,400,408.788,409.094,411.976,408.707,408.986,411.044,414.314,422.516,429.18,435.601,93.953,0.30699,35.601,0.089
338,Lewis,041,98582,"September 16, 2020",477.975,491.891,505.499,515.97,529.109,542.552,560.308,575.976,590.383,601.978,611,618.072,614.278,615.886,624.093,625.06,635.32,657.892,687.064,713.655,722.929,133.025,0.27831,111.929,0.18319
339,Lewis,041,98585,"September 16, 2020",580.378,588.576,596.383,600.534,607.839,615.492,627.972,638.022,646.633,652.175,655,668.241,680.062,685.58,682.849,696.793,697.864,706.508,727.534,744.355,758.843,74.622,0.12857,103.843,0.15854
340,Lewis,041,98591,"September 16, 2020",3525.363,3572.49,3617.245,3639.845,3681.565,3725.381,3798.405,3856.701,3906.288,3937.332,3952,3981.962,3988.363,3975.537,3998.868,4024.185,4017.541,4102.66,4131.766,4203.014,4275.892,426.637,0.12102,323.892,0.08196
341,Lewis,041,98593,"September 16, 2020",1082.155,1086.594,1090.302,1087.371,1090.211,1093.669,1105.627,1113.181,1118.171,1117.863,1113,1122.029,1121.673,1118.227,1118.279,1123.896,1122.66,1122.077,1138.579,1171.679,1183.777,30.845,0.0285,70.777,0.06359
342,Lewis,041,98596,"September 16, 2020",5721.974,5809.426,5893.062,5940.523,6019.157,6101.198,6231.177,6337.108,6428.799,6489.948,6524,6546.568,6573.025,6559.052,6558.988,6607.156,6615.265,6659.435,6762.587,6857.908,6970.168,802.026,0.14017,446.168,0.06839
343,Lincoln,043,98832,"September 16, 2020",37.033,36.265,34.876,33.247,32.514,31.483,30.466,29.537,28.571,27.341,26,25.814,25.914,25.937,25.429,24.988,23.955,23.709,23.746,23.77,23.609,-11.033,(   29.792%),-2.391,(    9.196%)
344,Lincoln,043,99008,"September 16, 2020",383.505,384.441,378.778,370.267,371.692,369.886,368.281,367.8,366.999,362.812,357,357.935,363.513,363.827,366.247,363.466,348.164,347.521,347.23,349.424,350.239,-26.505,(    6.911%),-6.761,(    1.894%)
345,Lincoln,043,99013,"September 16, 2020",106.093,114.76,121.471,127.068,136.032,143.923,151.935,160.487,168.998,175.95,182,182.879,182.287,184.491,184.249,182.492,185.746,190.002,193.8,197.991,200.222,75.907,0.71548,18.222,0.10012
346,Lincoln,043,99029,"September 16, 2020",972.483,981.195,973.075,957.478,967.542,969.297,971.59,976.926,981.47,976.963,968,972.036,978.158,980.241,976.862,974.644,974.833,970.125,983.081,994.804,1000.124,-4.483,(    0.461%),32.124,0.03319
347,Lincoln,043,99032,"September 16, 2020",723.386,725.315,714.794,698.891,701.742,698.499,695.63,694.9,693.557,685.81,675,673.175,672.766,672.898,670.199,672.923,662.017,660.311,660.272,661.361,663.167,-48.386,(    6.689%),-11.833,(    1.753%)
348,Lincoln,043,99103,"September 16, 2020",490.438,491.985,485.083,474.529,476.707,474.743,473.039,472.789,472.129,467.117,460,460.253,460.982,461.048,455.91,454.25,447.265,446.005,444.088,443.545,444.39,-30.438,(    6.206%),-15.61,(    3.393%)
349,Lincoln,043,99117,"September 16, 2020",441.825,450.349,451.148,448.387,457.612,462.966,468.602,475.738,482.547,484.917,485,489.866,493.249,492.43,486.717,485.972,479.157,477.262,481.986,486.477,488.947,43.175,0.09772,3.947,0.00814
350,Lincoln,043,99122,"September 16, 2020",3280.651,3358.733,3379.194,3372.538,3456.076,3510.561,3567.173,3635.392,3701.204,3732.884,3747,3766.803,3785.559,3786.365,3819.678,3840.385,3836.721,3886.17,3964.208,4045.163,4109.834,466.349,0.14215,362.834,0.09683
351,Lincoln,043,99133,"September 16, 2020",198.175,204.267,206.865,207.767,214.219,218.884,223.694,229.238,234.646,237.894,240,241.872,254.245,258.421,264.631,265.435,253.648,255.975,257.64,267.704,270.263,41.825,0.21105,30.263,0.1261
352,Lincoln,043,99134,"September 16, 2020",620.308,628.447,625.807,618.301,627.353,631.039,635.101,641.173,646.751,646.37,643,639.857,640.549,640.846,639.414,641.804,631.257,627.618,628.497,633.782,635.107,22.692,0.03658,-7.893,(    1.228%)
353,Lincoln,043,99144,"September 16, 2020",42.223,42.7,42.443,41.859,42.397,42.569,42.769,43.101,43.401,43.301,43,42.87,43.125,42.731,42.795,42.435,41.52,41.25,40.739,40.056,39.183,0.777,0.0184,-3.817,(    8.877%)
354,Lincoln,043,99147,"September 16, 2020",120.679,128.819,134.759,139.499,147.943,155.207,162.589,170.539,178.434,184.682,190,194.2,195.777,197.189,205.195,206.304,209.635,210.94,214.736,226.466,236.439,69.321,0.57442,46.439,0.24442
355,Lincoln,043,99154,"September 16, 2020",26.947,26.498,25.596,24.512,24.089,23.448,22.82,22.256,21.666,20.876,20,19.93,21.649,21.667,21.65,21.381,20.854,20.562,19.631,19.701,19.753,-6.947,(   25.780%),-0.247,(    1.235%)
356,Lincoln,043,99159,"September 16, 2020",1295.973,1298.687,1279.12,1249.926,1254.277,1247.734,1241.866,1239.787,1236.614,1222.051,1202,1200.714,1211.085,1203.162,1198.778,1199.081,1185.953,1191.501,1193.752,1203.326,1198.226,-93.973,(    7.251%),-3.774,(    0.314%)
357,Lincoln,043,99169,"September 16, 2020",26.025,27.377,28.265,28.905,30.317,31.483,32.673,33.972,35.258,36.221,37,36.503,38.322,38.177,38.195,37.083,38.265,37.991,37.598,37.712,39.514,10.975,0.42171,2.514,0.06795
358,Lincoln,043,99185,"September 16, 2020",1418.256,1419.162,1395.726,1361.826,1364.488,1355.278,1346.772,1342.365,1336.755,1318.811,1295,1295.293,1307.82,1305.57,1304.051,1307.357,1301.01,1313.058,1318.996,1328.718,1330.983,-123.256,(    8.691%),35.983,0.02779
359,Mason,045,98524,"September 16, 2020",1702.727,1835.271,1982.042,2127.528,2284.851,2453.346,2621.822,2809.77,2981.021,3113.57,3232,3254.224,3268.994,3289.86,3290.976,3309.276,3316.957,3387.12,3453.249,3554.805,3622.769,1529.273,0.89813,390.769,0.12091
360,Mason,045,98528,"September 16, 2020",7842.886,7965.196,8155.289,8342.048,8575.054,8846.357,9113.045,9441.368,9708.076,9849.313,9951,10126.746,10157.788,10217.634,10304.193,10392.381,10400.484,10573.983,10717.784,10856.589,10977.768,2108.114,0.26879,1026.768,0.10318
361,Mason,045,98541,"September 16, 2020",1218.293,1221.492,1235.29,1248.658,1268.94,1294.741,1319.683,1353.281,1377.819,1384.566,1386,1361.099,1367.683,1379.193,1384.548,1388.061,1389.981,1381.047,1396.216,1424.094,1437.061,167.707,0.13766,51.061,0.03684
362,Mason,045,98546,"September 16, 2020",1937.109,2011.95,2103.326,2193.64,2296.129,2409.283,2521.715,2651.928,2765.524,2843.314,2909,2930.586,2955.477,2969.575,2967.205,2995.758,3001.177,3078.706,3142.154,3211.015,3265.28,971.891,0.50172,356.28,0.12248
363,Mason,045,98548,"September 16, 2020",1735.686,1761.821,1802.99,1843.416,1894.071,1953.19,2011.236,2082.887,2140.936,2171.326,2193,2228.39,2242.287,2271.835,2283.28,2312.381,2309.121,2343.333,2387.726,2436.942,2473.881,457.314,0.26348,280.881,0.12808
364,Mason,045,98555,"September 16, 2020",476.018,482.952,494.002,504.851,518.493,534.453,550.127,569.509,585.176,593.275,599,606.246,610.08,615.474,616.943,619.329,620.083,642.305,654.759,675.668,680.566,122.982,0.25836,81.566,0.13617
365,Mason,045,98557,"September 16, 2020",0,6.329,12.631,18.899,25.273,31.819,38.422,45.392,52.16,58.245,64,63.326,63.441,63.617,63.489,63.517,65.523,68.272,68.581,69.424,69.613,64,0,5.613,0.0877
366,Mason,045,98560,"September 16, 2020",124.004,124.42,125.918,127.368,129.523,132.254,134.88,138.4,140.997,141.77,142,144.729,145.053,143.489,141.864,142.253,141.408,143.268,146.325,149.258,148.777,17.996,0.14512,6.777,0.04773
367,Mason,045,98584,"September 16, 2020",31438.125,31606.054,32047.256,32476.785,33086.234,33840.523,34573.276,35534.59,36258.972,36515.397,36630,36760.198,36967.64,37134.848,37189.481,37199.086,37304.777,37709.846,38119.101,38533.833,38805.349,5191.875,0.16515,2175.349,0.05939
368,Mason,045,98588,"September 16, 2020",1623.211,1625.73,1642.378,1658.453,1683.716,1716.292,1747.697,1790.552,1821.362,1828.678,1829,1843.526,1874.685,1898.6,1916.696,1913.399,1899.757,1944.443,1972.406,2030.778,2070.894,205.789,0.12678,241.894,0.13225
369,Mason,045,98592,"September 16, 2020",1306.941,1337.785,1379.878,1421.354,1470.716,1526.742,1582.097,1648.323,1703.957,1737.546,1764,1780.93,1796.872,1815.875,1841.325,1864.559,1870.732,1917.677,1961.699,2037.594,2098.042,457.059,0.34972,334.042,0.18937
370,Okanogan,047,98812,"September 16, 2020",4113.249,4141.893,4160.147,4161.554,4179.998,4192.31,4233.993,4211.42,4229.346,4270.003,4287,4278.018,4298.269,4323.968,4361.846,4398.196,4379.444,4413.225,4439.583,4458.627,4491.615,173.751,0.04224,204.615,0.04773
371,Okanogan,047,98813,"September 16, 2020",132.04,133.199,134.025,134.304,135.134,135.768,137.351,136.85,137.661,139.215,140,139.306,139.615,141.255,140.696,140.705,138.9,139.496,140.113,140.284,140.727,7.96,0.06028,0.727,0.00519
372,Okanogan,047,98814,"September 16, 2020",454.682,457.06,458.286,457.661,458.91,459.485,463.277,460.041,461.237,464.907,466,465.361,469.265,466.492,469.322,470.26,462.714,472.543,478.3,482.136,493.148,11.318,0.02489,27.148,0.05826
373,Okanogan,047,98819,"September 16, 2020",261.08,261.485,261.224,259.915,259.675,259.055,260.244,257.488,257.221,258.326,258,267.534,262.583,267.295,276.908,276.806,275.8,275.985,283.119,285.103,285.214,-3.08,(    1.180%),27.214,0.10548
374,Okanogan,047,98827,"September 16, 2020",368.895,364.197,358.562,351.505,345.907,339.81,336.06,327.238,321.636,317.714,312,309.237,314.725,316.757,316.539,317.778,313.749,318.902,325.809,331.964,336.471,-56.895,(   15.423%),24.471,0.07843
375,Okanogan,047,98829,"September 16, 2020",466.836,477.852,487.694,495.537,505.374,514.463,527.196,531.892,541.638,554.331,564,561.409,568.967,566.088,566.666,571.469,561.696,563.306,564.996,564.557,567.379,97.164,0.20813,3.379,0.00599
376,Okanogan,047,98833,"September 16, 2020",118.037,121.565,124.795,127.512,130.737,133.769,137.753,139.635,142.834,146.816,150,162.854,178.658,188.027,197.29,208.525,225.484,242.546,262.446,276.368,286.605,31.963,0.27079,136.605,0.9107
377,Okanogan,047,98834,"September 16, 2020",303.101,297.497,291.127,283.607,277.273,270.539,265.667,256.794,250.461,245.426,239,236.727,238.679,240.822,238.884,242.286,243.538,250.658,251.645,255.503,256.024,-64.101,(   21.148%),17.024,0.07123
378,Okanogan,047,98840,"September 16, 2020",4749.029,4772.208,4783.381,4775.216,4786.66,4791.077,4829.008,4793.698,4804.573,4841.214,4851,4869.676,4843.635,4822.189,4839.688,4826.353,4809.016,4839.092,4866.614,4889.703,4932.982,101.971,0.02147,81.982,0.0169
379,Okanogan,047,98841,"September 16, 2020",9091.677,9127.044,9139.416,9114.874,9127.781,9127.309,9190.658,9114.615,9126.499,9187.251,9197,9181.312,9187.735,9177.241,9177.461,9248.662,9219.156,9257.803,9294.624,9316.151,9346.253,105.323,0.01158,149.253,0.01623
380,Okanogan,047,98844,"September 16, 2020",4581.562,4609.949,4626.756,4624.833,4641.888,4652.097,4694.909,4666.452,4682.945,4724.553,4740,4753.324,4832.058,4868.771,4864.658,4891.352,4865.951,4882.461,4919.431,4930.129,4964.038,158.438,0.03458,224.038,0.04727
381,Okanogan,047,98846,"September 16, 2020",1185.447,1187.43,1186.42,1180.623,1179.684,1177.025,1182.582,1170.211,1169.153,1174.344,1173,1178.033,1188.959,1186.154,1184.633,1055.385,1089.179,1116.69,1129.325,1139.133,1164.036,-12.447,(    1.050%),-8.964,(    0.764%)
382,Okanogan,047,98849,"September 16, 2020",1030.27,1037.865,1042.863,1043.633,1048.677,1052.178,1063.05,1057.786,1062.697,1073.316,1078,1085.852,1093.309,1092.863,1103.482,1106.595,1102.133,1113.605,1138.451,1144.029,1165.32,47.73,0.04633,87.32,0.081
383,Okanogan,047,98855,"September 16, 2020",5443.813,5500.71,5543.853,5564.478,5607.806,5642.899,5717.611,5705.463,5748.031,5821.577,5863,5856.906,5889.842,5895.425,5936.541,5972.502,5926.768,5985.977,6034.375,6061.544,6116.706,419.187,0.077,253.706,0.04327
384,Okanogan,047,98856,"September 16, 2020",2369.074,2385.061,2395.049,2395.351,2405.462,2412.038,2435.519,2422.026,2431.842,2454.717,2464,2471.652,2496.641,2511.145,2528.241,2545.656,2537.123,2587.447,2617.546,2638.132,2652.517,94.926,0.04007,188.517,0.07651
385,Okanogan,047,98859,"September 16, 2020",228.239,229.837,230.863,230.953,231.99,232.682,235.012,233.767,234.775,237.043,238,246.056,246.155,244.806,243.03,242.466,244.326,245.044,245.802,249.86,252.406,9.761,0.04277,14.406,0.06053
386,Okanogan,047,98862,"September 16, 2020",1773.547,1822.963,1867.924,1905.159,1950.066,1992.092,2048.227,2073.138,2117.655,2173.751,2218,2262.376,2298.426,2317.242,2379.562,2420.399,2419.699,2483.811,2569.914,2637.269,2744.373,444.453,0.2506,526.373,0.23732
387,Okanogan,047,99116,"September 16, 2020",1310.388,1308.114,1302.519,1291.669,1286.187,1278.82,1280.338,1262.488,1256.873,1257.963,1252,1248.707,1254.753,1253.601,1251.786,1247.217,1246.28,1248.289,1250.355,1250.949,1252.444,-58.388,(    4.456%),0.444,0.00035
388,Okanogan,047,99124,"September 16, 2020",265.083,263.287,260.826,257.318,254.878,252.068,251.008,246.15,243.693,242.526,240,241.942,236.98,236.94,241.879,286.482,291.361,291.379,291.411,291.419,291.439,-25.083,(    9.462%),51.439,0.21433
389,Okanogan,047,99155,"September 16, 2020",1289.351,1297.256,1301.888,1301.21,1305.978,1308.794,1320.715,1312.636,1317.185,1328.843,1333,1327.181,1329.197,1326.668,1322.83,1332.985,1320.753,1324.668,1328.915,1329.975,1333.075,43.649,0.03385,0.075,6e-05
390,Okanogan,047,99166,"September 16, 2020",28.6,31.528,34.382,37.088,39.935,42.722,45.822,48.212,51.045,54.164,57,56.537,56.549,56.251,58.058,57.921,56.93,57.073,57.226,57.165,57.228,28.4,0.99301,0.228,0.004
391,Pacific,049,98527,"September 16, 2020",308.774,309.889,310.36,308.801,310.413,312.205,317.294,317.158,318.167,321.884,324,325.888,330.661,331.186,336.256,337.075,335.929,332.115,334.509,335.269,335.702,15.226,0.04931,11.702,0.03612
392,Pacific,049,98537,"September 16, 2020",84.011,83.694,83.211,82.195,82.025,81.905,82.641,82.012,81.685,82.051,82,83.113,83.089,83.038,83.444,83.624,83.026,83.024,83.411,84.191,83.965,-2.011,(    2.394%),1.965,0.02396
393,Pacific,049,98547,"September 16, 2020",687.032,673.444,658.528,639.517,627.22,615.268,609.628,593.847,580.322,571.65,560,557.486,558.43,560.473,565.529,570.053,565.006,564.993,569.813,572.372,573.371,-127.032,(   18.490%),13.371,0.02388
394,Pacific,049,98577,"September 16, 2020",6510.368,6484.53,6445.529,6365.01,6350.288,6339.22,6394.518,6344.137,6317.114,6343.56,6338,6322.153,6334.687,6337.425,6337.915,6350.65,6327.298,6296.185,6322.721,6348.72,6371.802,-172.368,(    2.648%),33.802,0.00533
395,Pacific,049,98586,"September 16, 2020",2122.371,2101.766,2076.926,2038.88,2022.014,2006.305,2011.439,1983.282,1962.477,1958.235,1944,1942.839,1933.793,1930.045,1936.68,1927.85,1926.424,1930.725,1935.21,1927.409,1946.334,-178.371,(    8.404%),2.334,0.0012
396,Pacific,049,98590,"September 16, 2020",417.02,410.376,402.92,392.934,387.061,381.4,379.667,371.64,365.004,361.439,356,364.711,364.711,360.007,362.978,366.84,357.872,356.152,358.099,360.234,360.553,-61.02,(   14.632%),4.553,0.01279
397,Pacific,049,98614,"September 16, 2020",306.062,310.348,313.975,315.506,320.243,325.175,333.577,336.506,340.629,347.667,353,349.119,349.589,349.37,353.105,355.229,355.154,356.369,358.4,364.578,369.035,46.938,0.15336,16.035,0.04542
398,Pacific,049,98621,"September 16, 2020",4,4.494,4.977,5.42,5.915,6.414,6.987,7.447,7.931,8.484,9,8.973,8.973,8.969,9.005,9.018,8.965,8.965,9,9.08,9.06,5,1.25,0.06,0.00667
399,Pacific,049,98624,"September 16, 2020",1590.639,1582.692,1571.52,1550.257,1545.022,1540.678,1552.44,1538.549,1530.321,1535.043,1532,1532.98,1541.767,1548.146,1561.111,1562.666,1560.645,1561.933,1585.132,1598.452,1599.061,-58.639,(    3.687%),67.061,0.04377
400,Pacific,049,98631,"September 16, 2020",3321.001,3308.864,3289.937,3249.827,3243.279,3238.626,3267.855,3243.137,3230.303,3244.839,3243,3244.971,3263.977,3274.182,3292.337,3319.276,3334.498,3365.173,3390.862,3438.858,3544.631,-78.001,(    2.349%),301.631,0.09301
401,Pacific,049,98638,"September 16, 2020",1165.969,1179.923,1191.373,1194.916,1210.626,1227.052,1256.551,1265.415,1278.8,1303.1,1321,1328.205,1327.43,1332.796,1303.784,1300.794,1315.242,1327.806,1338.716,1341.066,1364.434,155.031,0.13296,43.434,0.03288
402,Pacific,049,98640,"September 16, 2020",3902.386,3944.977,3979.21,3987.073,4035.563,4086.458,4180.849,4206.547,4247.276,4324.301,4380,4363.975,4400.391,4426.964,4501.588,4566.339,4553.541,4607.245,4670.831,4787.266,4810.411,477.614,0.12239,430.411,0.09827
403,Pacific,049,98641,"September 16, 2020",12,11.285,10.551,9.757,9.07,8.388,7.785,7.05,6.345,5.69,5,4.84,4.782,4.779,4.814,4.849,4.797,4.797,4.83,4.908,4.888,-7,(   58.333%),-0.112,(    2.240%)
404,Pacific,049,98644,"September 16, 2020",552.367,543.718,533.983,520.907,513.261,505.906,503.769,493.273,484.626,480.057,473,470.747,467.72,452.62,451.454,455.737,451.603,454.518,458.466,467.597,466.753,-79.367,(   14.369%),-6.247,(    1.321%)
405,Pend Oreille,051,99006,"September 16, 2020",60.027,63.41,66.373,69.378,72.13,75.336,78.427,82.186,85.451,88.353,91,90.078,92.06,92.216,92.087,92.041,97.74,97.19,99.487,102.268,97.992,30.973,0.51598,6.992,0.07684
406,Pend Oreille,051,99009,"September 16, 2020",681.337,697.369,708.679,720.55,729.901,743.896,756.756,775.91,790.225,801.216,810,807.36,816.38,824.364,823.177,814.99,819.131,828.06,848.168,862.404,866.03,128.663,0.18884,56.03,0.06917
407,Pend Oreille,051,99119,"September 16, 2020",1110.513,1124.966,1131.773,1139.531,1143.352,1154.501,1163.855,1182.821,1194.296,1200.769,1204,1203.12,1224.733,1228.921,1233.456,1238.272,1247.404,1257.219,1278.57,1296.178,1322.389,93.487,0.08418,118.389,0.09833
